"#","Reference","Qty","Value","Footprint","DNP"
"1","BT1","1","CR2032 OU LIR2032","Battery:BatteryHolder_Keystone_1060_1x2032",""
"2","C1","1","1µF","Capacitor_SMD:C_0805_2012Metric",""
"3","C2","1","100nF","Capacitor_SMD:C_0805_2012Metric",""
"4","CN1","1","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"5","CN2","1","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"6","D1","1","LED","LED_SMD:LED_0805_2012Metric",""
"7","D2","1","1N4148","Diode_SMD:D_SOD-123",""
"8","R1","1","200Ohms","Resistor_SMD:R_0805_2012Metric",""
"9","R2","1","1k","Resistor_SMD:R_0805_2012Metric",""
"10","RN1","1","4*4,7K","Resistor_SMD:R_Array_Convex_4x0603",""
"11","RN3","1","4*4,7k","Resistor_SMD:R_Array_Convex_4x0603",""
"12","U1","1","AT24C32","Library_kiady:SOIC -8",""
"13","U2","1","DS3231","Library_kiady:SOIC -16",""
"14","U3","1","~","Library_kiady:EEPROM_Adress_Selector_3xSJ",""
